Agency Name,Longitude,Latitude
Salem United Methodist Church,-73.947122,40.811911
The Church of the Village - Hope for our Neighbors,-74.000568,40.738137
The Church of the Village - Hope for Our Neighbors,-74.000568,40.738137
Vets Inc,-73.779416,40.694828
St. Michael's Church,-73.969423,40.796445
Heritage Health and Housing Inc.,-73.949084,40.822914
Original Pentecostal Apostolic Church,-73.939785,40.641618
Morrisania Baptist Church,-73.904152,40.832543
Maranatha SDA Church,-73.929412,40.658521
Resurrection Power and Living Bread Ministries Int,-73.900032,40.845779
Ruth Fernandez Family Residence,-73.897913,40.815807
Iris House West Side Food Pantry,-73.942738,40.817081
Iris House Westside Soup Kitchen,-73.942738,40.817081
St. Stephen Outreach Inc.,-73.947116,40.695501
St. Stephen Outreach Community,-73.947116,40.695501
Shalom Senior Center,-73.939833,40.663353
Shiloh SDA,-73.953547,40.670411
Our Lady of Grace Parish,-73.967198,40.593435
Our Lady of Grace Parish Ministry,-73.967198,40.593435
Project Bravo at Montefiore Medical Ctr,-73.87972,40.873266
The Hope Center Development Corporation,-73.918445,40.657186
Community Food Pantry at Highbridge,-73.924856,40.841718
Christ Jesus Baptist Church,-73.866096,40.845725
Church of God of Prophecy (Pantry & Soup Kitchen),-73.895094,40.659001
Church of God of Prophecy (Pantry & Soup Kitchen),-73.895094,40.659001
St. Jerome's Hands Community Center,-73.925141,40.809899
Church of the Living God,-73.93373,40.672111
Make the Road New York,-73.915796,40.698416
Salvation Army Harlem Temple,-73.939484,40.81553
Salvation Army Harlem Temple Corps,-73.939484,40.81553
Cornerstone SDA Church,-73.896742,40.674521
Cornerstone SDA Church,-73.896742,40.674521
First Baptist Church,-73.868736,40.761614
First Baptist Church,-73.868736,40.761614
The Salvation Army Astoria Corps,-73.914441,40.756692
The Salvation Army Bronx Citadel,-73.913414,40.822699
The Salvation Army Bronx Citadel,-73.913414,40.822699
The Salvation Army Sunset Park Corps,-74.009825,40.644685
The Salvation Army Sunset Park Corps,-74.009825,40.644685
Grand Central Neighborhood Social Service Corp.,-73.9814,40.745305
Bethel Seventh-Day Adventist Church,-73.961306,40.681599
Bethel Seventh-Day Adventist Church,-73.961306,40.681599
St. Philip's Episcopal,-73.933228,40.681602
Bethel Gospel Tabernacle Church,-73.788266,40.692753
Bethel Gospel Tabernacle Church,-73.788266,40.692753
Mana Del Cielo,-73.907463,40.844544
Community Alliance Initiative,-73.895241,40.700849
St. Paul Pentecostal Kingdom Builders Food Pantry,-73.913823,40.680359
Mamre SDA Church,-73.928143,40.632625
Greater Springfield Community Church,-73.765213,40.680303
ABUNDANT GRACE FOR THE FORSAKEN FOOD PANTRY,-73.843869,40.871356
Henry Street Settlement,-73.982702,40.714157
Bethlehem Nation's Food Pantry,-73.955593,40.65209
Church of God of Salvation,-73.948961,40.646665
Child Development Support Corp.,-73.960024,40.68826
ST. JOSEPHS SOUP KITCHEN INCORPORATED,-74.005095,40.738088
St. Edward Food Pantry,-74.222442,40.511884
St. Ann's Church of Morrisania,-73.916661,40.808436
St. Ann's Church of Morrisania,-73.916661,40.808436
Crown Heights Jewish Community Council,-73.934787,40.664633
Temple Sharaay Tefila,-73.955473,40.773341
New Alternatives For Children,-73.990491,40.744513
African Services Committee,-73.954488,40.813379
Hope for the Future Ministries,-73.980396,40.72775
Kings Bay Y Senior Center,-73.940632,40.595032
